GEOID,county,year,gdp
01001,"Autauga, AL",2015,"1,290,521"
01001,"Autauga, AL",2016,"1,354,797"
01001,"Autauga, AL",2017,"1,277,080"
01001,"Autauga, AL",2018,"1,324,335"
01001,"Autauga, AL",2019,"1,294,907"
01003,"Baldwin, AL",2015,"4,791,696"
01003,"Baldwin, AL",2016,"4,963,668"
01003,"Baldwin, AL",2017,"5,072,018"
01003,"Baldwin, AL",2018,"5,305,851"
01003,"Baldwin, AL",2019,"5,425,338"
01005,"Barbour, AL",2015,"663,368"
01005,"Barbour, AL",2016,"637,497"
01005,"Barbour, AL",2017,"640,191"
01005,"Barbour, AL",2018,"668,810"
01005,"Barbour, AL",2019,"657,515"
01007,"Bibb, AL",2015,"272,759"
01007,"Bibb, AL",2016,"274,491"
01007,"Bibb, AL",2017,"275,211"
01007,"Bibb, AL",2018,"284,700"
01007,"Bibb, AL",2019,"308,323"
01009,"Blount, AL",2015,"741,456"
01009,"Blount, AL",2016,"694,900"
01009,"Blount, AL",2017,"741,875"
01009,"Blount, AL",2018,"761,790"
01009,"Blount, AL",2019,"730,458"
01011,"Bullock, AL",2015,"163,914"
01011,"Bullock, AL",2016,"176,870"
01011,"Bullock, AL",2017,"180,456"
01011,"Bullock, AL",2018,"189,336"
01011,"Bullock, AL",2019,"204,481"
01013,"Butler, AL",2015,"525,735"
01013,"Butler, AL",2016,"510,365"
01013,"Butler, AL",2017,"523,701"
01013,"Butler, AL",2018,"544,567"
01013,"Butler, AL",2019,"543,077"
01015,"Calhoun, AL",2015,"2,875,478"
01015,"Calhoun, AL",2016,"2,895,553"
01015,"Calhoun, AL",2017,"2,898,461"
01015,"Calhoun, AL",2018,"2,969,647"
01015,"Calhoun, AL",2019,"3,010,859"
01017,"Chambers, AL",2015,"777,668"
01017,"Chambers, AL",2016,"705,938"
01017,"Chambers, AL",2017,"652,536"
01017,"Chambers, AL",2018,"668,338"
01017,"Chambers, AL",2019,"692,925"
01019,"Cherokee, AL",2015,"418,466"
01019,"Cherokee, AL",2016,"407,396"
01019,"Cherokee, AL",2017,"419,086"
01019,"Cherokee, AL",2018,"452,312"
01019,"Cherokee, AL",2019,"447,706"
01021,"Chilton, AL",2015,"703,795"
01021,"Chilton, AL",2016,"710,807"
01021,"Chilton, AL",2017,"743,541"
01021,"Chilton, AL",2018,"775,131"
01021,"Chilton, AL",2019,"803,469"
01023,"Choctaw, AL",2015,"486,478"
01023,"Choctaw, AL",2016,"475,141"
01023,"Choctaw, AL",2017,"458,637"
01023,"Choctaw, AL",2018,"505,505"
01023,"Choctaw, AL",2019,"509,459"
01025,"Clarke, AL",2015,"666,471"
01025,"Clarke, AL",2016,"652,194"
01025,"Clarke, AL",2017,"624,198"
01025,"Clarke, AL",2018,"648,857"
01025,"Clarke, AL",2019,"663,019"
01027,"Clay, AL",2015,"269,461"
01027,"Clay, AL",2016,"291,290"
01027,"Clay, AL",2017,"322,042"
01027,"Clay, AL",2018,"363,950"
01027,"Clay, AL",2019,"343,157"
01029,"Cleburne, AL",2015,"264,862"
01029,"Cleburne, AL",2016,"251,310"
01029,"Cleburne, AL",2017,"248,659"
01029,"Cleburne, AL",2018,"251,573"
01029,"Cleburne, AL",2019,"225,758"
01031,"Coffee, AL",2015,"1,148,121"
01031,"Coffee, AL",2016,"1,139,374"
01031,"Coffee, AL",2017,"1,134,308"
01031,"Coffee, AL",2018,"1,156,248"
01031,"Coffee, AL",2019,"1,151,740"
01033,"Colbert, AL",2015,"2,134,819"
01033,"Colbert, AL",2016,"2,034,755"
01033,"Colbert, AL",2017,"1,923,388"
01033,"Colbert, AL",2018,"1,971,421"
01033,"Colbert, AL",2019,"2,014,833"
01035,"Conecuh, AL",2015,"415,445"
01035,"Conecuh, AL",2016,"423,602"
01035,"Conecuh, AL",2017,"409,173"
01035,"Conecuh, AL",2018,"402,033"
01035,"Conecuh, AL",2019,"416,885"
01037,"Coosa, AL",2015,"142,913"
01037,"Coosa, AL",2016,"148,447"
01037,"Coosa, AL",2017,"144,326"
01037,"Coosa, AL",2018,"147,463"
01037,"Coosa, AL",2019,"151,133"
01039,"Covington, AL",2015,"993,340"
01039,"Covington, AL",2016,"987,415"
01039,"Covington, AL",2017,"999,027"
01039,"Covington, AL",2018,"996,997"
01039,"Covington, AL",2019,"974,994"
01041,"Crenshaw, AL",2015,"387,160"
01041,"Crenshaw, AL",2016,"351,310"
01041,"Crenshaw, AL",2017,"374,035"
01041,"Crenshaw, AL",2018,"389,226"
01041,"Crenshaw, AL",2019,"391,386"
01043,"Cullman, AL",2015,"2,314,852"
01043,"Cullman, AL",2016,"2,295,112"
01043,"Cullman, AL",2017,"2,313,534"
