GEOID,county,state,state_name,geo_point
42053,Forest,PA,Pennsylvania,"[41.5130724363, -79.2360118434]"
37001,Alamance,NC,North Carolina,"[36.0437098766, -79.3994248175]"
17025,Clay,IL,Illinois,"[38.7541714951, -88.4902374225]"
29103,Knox,MO,Missouri,"[40.1282548929, -92.1480723868]"
18115,Ohio,IN,Indiana,"[38.9500945902, -84.9650431209]"
38085,Sioux,ND,North Dakota,"[46.1126539091, -101.040305284]"
18173,Warrick,IN,Indiana,"[38.0921662434, -87.2720537447]"
72053,Fajardo,PR,Puerto Rico,"[18.3622092521, -65.6065608131]"
48507,Zavala,TX,Texas,"[28.8662114221, -99.7605956717]"
31007,Banner,NE,Nebraska,"[41.5459746701, -103.710476768]"
28009,Benton,MS,Mississippi,"[34.8172864604, -89.1884754842]"
21055,Crittenden,KY,Kentucky,"[37.3527152683, -88.0972226536]"
51119,Middlesex,VA,Virginia,"[37.6227077717, -76.5059133431]"
38035,Grand Forks,ND,North Dakota,"[47.9219151859, -97.4569239404]"
20071,Greeley,KS,Kansas,"[38.4805374528, -101.805968435]"
13251,Screven,GA,Georgia,"[32.7505866271, -81.6119345544]"
04027,Yuma,AZ,Arizona,"[32.7696188927, -113.905618757]"
29043,Christian,MO,Missouri,"[36.969571697, -93.1888539044]"
28071,Lafayette,MS,Mississippi,"[34.356757808, -89.4849192699]"
28085,Lincoln,MS,Mississippi,"[31.5323843939, -90.4539712434]"
49011,Davis,UT,Utah,"[40.9900687168, -112.111371277]"
39001,Adams,OH,Ohio,"[38.8455149273, -83.4721517804]"
39059,Guernsey,OH,Ohio,"[40.0520536496, -81.4942562194]"
19039,Clarke,IA,Iowa,"[41.0290322944, -93.7851578386]"
20149,Pottawatomie,KS,Kansas,"[39.3790027809, -96.3423649942]"
48481,Wharton,TX,Texas,"[29.2778616455, -96.2221042394]"
47009,Blount,TN,Tennessee,"[35.6872037952, -83.9255394315]"
27107,Norman,MN,Minnesota,"[47.3264761642, -96.4552777398]"
01099,Monroe,AL,Alabama,"[31.5708340246, -87.3654375115]"
50009,Essex,VT,Vermont,"[44.7279402249, -71.7361943775]"
29105,Laclede,MO,Missouri,"[37.6583184627, -92.590351423]"
54107,Wood,WV,West Virginia,"[39.2111317394, -81.514965317]"
29041,Chariton,MO,Missouri,"[39.5150814814, -92.9626237174]"
06051,Mono,CA,California,"[37.938990343, -118.886709262]"
05027,Columbia,AR,Arkansas,"[33.2142871374, -93.227308885]"
48449,Titus,TX,Texas,"[33.2166030364, -94.9656722276]"
26065,Ingham,MI,Michigan,"[42.5970991967, -84.3735369769]"
20033,Comanche,KS,Kansas,"[37.1912804013, -99.2718714746]"
48489,Willacy,TX,Texas,"[26.4769663387, -97.5916576336]"
36049,Lewis,NY,New York,"[43.7846914327, -75.4487944963]"
18077,Jefferson,IN,Indiana,"[38.7858226615, -85.4385728826]"
54073,Pleasants,WV,West Virginia,"[39.3709375943, -81.1606296676]"
51071,Giles,VA,Virginia,"[37.3142565856, -80.702936854]"
44009,Washington,RI,Rhode Island,"[41.3964956116, -71.6196574376]"
13289,Twiggs,GA,Georgia,"[32.6672014402, -83.4270835327]"
01115,St. Clair,AL,Alabama,"[33.7157303222, -86.3145956812]"
18061,Harrison,IN,Indiana,"[38.1951228784, -86.1113109452]"
12087,Monroe,FL,Florida,"[25.0467803277, -81.1856924179]"
72069,Humacao,PR,Puerto Rico,"[18.1332083357, -65.7877942339]"
29073,Gasconade,MO,Missouri,"[38.4408670947, -91.5079334292]"
39117,Morrow,OH,Ohio,"[40.5240865228, -82.7940677882]"
29045,Clark,MO,Missouri,"[40.4103560325, -91.7383967271]"
17127,Massac,IL,Illinois,"[37.2190501994, -88.7077397007]"
47043,Dickson,TN,Tennessee,"[36.1490481181, -87.3566550687]"
29009,Barry,MO,Missouri,"[36.7099124483, -93.8290683344]"
19075,Grundy,IA,Iowa,"[42.4018650655, -92.7914177407]"
17087,Johnson,IL,Illinois,"[37.4596486226, -88.8809285275]"
05041,Desha,AR,Arkansas,"[33.8333331807, -91.2539442656]"
47135,Perry,TN,Tennessee,"[35.6426343016, -87.858966744]"
54023,Grant,WV,West Virginia,"[39.1051348222, -79.195570287]"
48235,Irion,TX,Texas,"[31.303925021, -100.982419275]"
54063,Monroe,WV,West Virginia,"[37.5603718263, -80.5505540253]"
37095,Hyde,NC,North Carolina,"[35.4081187361, -76.1449651093]"
39043,Erie,OH,Ohio,"[41.4705726437, -82.5763150918]"
29189,St. Louis,MO,Missouri,"[38.6406885662, -90.4433975603]"
37167,Stanly,NC,North Carolina,"[35.3119550622, -80.2509863077]"
48191,Hall,TX,Texas,"[34.5307791419, -100.681128599]"
15005,Kalawao,HI,Hawaii,"[21.2118898113, -156.954041591]"
41053,Polk,OR,Oregon,"[44.9035217224, -123.41325989]"
01041,Crenshaw,AL,Alabama,"[31.7315001844, -86.3135388959]"
26043,Dickinson,MI,Michigan,"[46.0092394572, -87.8702584456]"
36007,Broome,NY,New York,"[42.1602170275, -75.8196181695]"
45001,Abbeville,SC,South Carolina,"[34.2226067095, -82.4591641694]"
26017,Bay,MI,Michigan,"[43.7213655935, -83.9418350885]"
48321,Matagorda,TX,Texas,"[28.7856505535, -96.0039807574]"
05061,Howard,AR,Arkansas,"[34.0887429323, -93.9934933573]"
22015,Bossier,LA,Louisiana,"[32.6789310276, -93.6050459212]"
56001,Albany,WY,Wyoming,"[41.6544687417, -105.723910733]"
13103,Effingham,GA,Georgia,"[32.3673093945, -81.3413404834]"
72054,Florida,PR,Puerto Rico,"[18.3734438232, -66.5602142106]"
29197,Schuyler,MO,Missouri,"[40.4702708097, -92.5209408738]"
01035,Conecuh,AL,Alabama,"[31.4292715445, -86.9936742092]"
12063,Jackson,FL,Florida,"[30.7953911236, -85.2154596916]"
56027,Niobrara,WY,Wyoming,"[43.0564977139, -104.47537645]"
39025,Clermont,OH,Ohio,"[39.0474329308, -84.1519178888]"
48051,Burleson,TX,Texas,"[30.4924753926, -96.6214567361]"
30041,Hill,MT,Montana,"[48.6282036571, -110.111239391]"
51021,Bland,VA,Virginia,"[37.1339863881, -81.1302139229]"
30111,Yellowstone,MT,Montana,"[45.9373346715, -108.27441843]"
29187,St. Francois,MO,Missouri,"[37.8102830478, -90.4722676012]"
47015,Cannon,TN,Tennessee,"[35.8086768522, -86.0617405927]"
27147,Steele,MN,Minnesota,"[44.022343746, -93.2260411098]"
51185,Tazewell,VA,Virginia,"[37.1249780238, -81.5605967061]"
39089,Licking,OH,Ohio,"[40.0916079241, -82.4831009236]"
31079,Hall,NE,Nebraska,"[40.8725715098, -98.5021739966]"
55109,St. Croix,WI,Wisconsin,"[45.034066286, -92.4527825664]"
18009,Blackford,IN,Indiana,"[40.473600561, -85.3248199236]"
13177,Lee,GA,Georgia,"[31.7795065577, -84.1411344532]"
51103,Lancaster,VA,Virginia,"[37.7017152151, -76.4202298099]"
31129,Nuckolls,NE,Nebraska,"[40.1763796295, -98.0471849897]"
39003,Allen,OH,Ohio,"[40.7715207081, -84.1057794323]"
39085,Lake,OH,Ohio,"[41.9103521337, -81.250939242]"
29011,Barton,MO,Missouri,"[37.5023005833, -94.3471107747]"
26089,Leelanau,MI,Michigan,"[45.151770859, -86.0384960523]"
08115,Sedgwick,CO,Colorado,"[40.8759049641, -102.351791195]"
31089,Holt,NE,Nebraska,"[42.4557108473, -98.7838447084]"
13227,Pickens,GA,Georgia,"[34.4643197803, -84.4656390578]"
28069,Kemper,MS,Mississippi,"[32.7545579307, -88.6411594239]"
17083,Jersey,IL,Illinois,"[39.0855054887, -90.3565282985]"
12095,Orange,FL,Florida,"[28.5144162588, -81.3234735281]"
48181,Grayson,TX,Texas,"[33.6268085539, -96.6777253881]"
48107,Crosby,TX,Texas,"[33.6146250309, -101.299958451]"
72151,Yabucoa,PR,Puerto Rico,"[18.0559662881, -65.8633023194]"
40003,Alfalfa,OK,Oklahoma,"[36.730988911, -98.3239781797]"
21193,Perry,KY,Kentucky,"[37.2442933233, -83.2214816028]"
19121,Madison,IA,Iowa,"[41.3307142217, -94.0155619459]"
48005,Angelina,TX,Texas,"[31.2547645833, -94.6118485462]"
17011,Bureau,IL,Illinois,"[41.4041459264, -89.5286557577]"
18157,Tippecanoe,IN,Indiana,"[40.3886187334, -86.8940974128]"
26037,Clinton,MI,Michigan,"[42.9436523662, -84.6015165533]"
72133,Santa Isabel,PR,Puerto Rico,"[17.9530033162, -66.3866938243]"
37131,Northampton,NC,North Carolina,"[36.4177312434, -77.3968212099]"
46081,Lawrence,SD,South Dakota,"[44.3586271805, -103.792224515]"
08059,Jefferson,CO,Colorado,"[39.5864284092, -105.250466793]"
20035,Cowley,KS,Kansas,"[37.2377526609, -96.8374891769]"
51045,Craig,VA,Virginia,"[37.4817063904, -80.2113954217]"
25027,Worcester,MA,Massachusetts,"[42.3513950817, -71.9077266261]"
06031,Kings,CA,California,"[36.0753604529, -119.815502709]"
20115,Marion,KS,Kansas,"[38.3588724365, -97.0968903589]"
13291,Union,GA,Georgia,"[34.8340257189, -83.990719955]"
22053,Jefferson Davis,LA,Louisiana,"[30.2677218795, -92.814120915]"
08037,Eagle,CO,Colorado,"[39.6278256159, -106.695299259]"
